
CCTV,#genre#
教育卫视,http://223.110.243.166/ott.js.chinamobile.com/PLTV/3/224/3221227580/index.m3u8
教育卫视,http://live.sdetv.com.cn/live/sdetv/playlist.m3u8
教育卫视,http://cctvalih5ca.v.myalicdn.com/cstv/sdetv_2/index.m3u8
CETV1,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226954/index.m3u8
CETV1,http://ott.js.chinamobile.com/PLTV/3/224/3221227560/index.m3u8
CETV1,http://ott.js.chinamobile.com/PLTV/3/224/3221225909/index.m3u8
CETV1,rtmp://ivi.bupt.edu.cn:1935/livetv/cetv1hd
CETV1,http://39.135.16.150:6610/PLTV/88888888/224/3221225723/1/index.m3u8?fmt=ts2hls
CETV1,http://cctvalih5ca.v.myalicdn.com/cstv/cetv1_2/index.m3u8
CETV2,http://cctvalih5ca.v.myalicdn.com/cstv/cetv2_2/index.m3u8
CETV3,http://cctvalih5ca.v.myalicdn.com/cstv/cetv3_2/index.m3u8
CETV4,http://cctvalih5ca.v.myalicdn.com/cstv/cetv4_2/index.m3u8
CETV1,http://223.110.251.152:6610/gitv/live1/G_CETV-1/G_CETV-1/
CETV2,http://223.110.251.152:6610/gitv/live1/G_CETV-2/G_CETV-2/
CETV3,http://223.110.251.152:6610/gitv/live1/G_CETV-3/G_CETV-3/
CETV4,http://223.110.251.152:6610/gitv/live1/G_CETV-4/G_CETV-4/
CETVC,http://39.130.215.226:6610/gitv_live/G_CETV-ZQJY/G_CETV-ZQJY.m3u8
CETVC,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225513/index.m3u8?fmt=ts2hls
CECTV1,http://play.cec-tv.com.cn/channel/cec-tv1.m3u8
CECTV2,http://play.cec-tv.com.cn/channel/cec-tv2.m3u8
CECTV3,http://play.cec-tv.com.cn/channel/cec-tv3.m3u8
CECTV4,http://play.cec-tv.com.cn/channel/cec-tv4.m3u8

CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC高清电影,http://125.210.152.18:9090/live/CHCGQDY.m3u8
CHC动作电影,http://125.210.152.18:9090/live/DZDYHD.m3u8
CHC家庭影院,http://125.210.152.18:9090/live/JTYYHD.m3u8

阳光卫视,http://121.31.30.87:8085/ysten-business/live/yangguangstv/yst.m3u8

凤凰中文,http://117.169.120.130:8080/live/fhchinese/index.m3u8
凤凰资讯,http://117.169.120.130:8080/live/fhzixun/index.m3u8
凤凰中文,http://117.169.120.98:8080/ysten-businessmobile/live/fhchinese/dujuejiami.m3u8
凤凰资讯,http://117.169.120.98:8080/ysten-businessmobile/live/fhzixun/dujuejiami.m3u8
凤凰中文,http://liveali.ifeng.com/live/FHZW.flv
凤凰资讯,http://liveali.ifeng.com/live/FHZX.flv
凤凰香港,http://223.110.245.136/ott.js.chinamobile.com/PLTV/3/224/3221226975/index.m3u8
CHC高清电影,rtmp://ivi.bupt.edu.cn:1935/livetv/chchd
CHC家庭影院,rtmp://ivi.bupt.edu.cn:1935/livetv/chctv
CHC动作电影,rtmp://ivi.bupt.edu.cn:1935/livetv/chcatv
凤凰中文,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzw
凤凰资讯,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzx
凤凰电影,rtmp://ivi.bupt.edu.cn:1935/livetv/fhdy
星空卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/startv
星空体育,rtmp://ivi.bupt.edu.cn:1935/livetv/starsports
Channel[V],rtmp://ivi.bupt.edu.cn:1935/livetv/channelv
探索发现,rtmp://ivi.bupt.edu.cn:1935/livetv/discovery
国家地理,rtmp://ivi.bupt.edu.cn:1935/livetv/natlgeo

SETV,#genre#
CCTV14,http://223.110.251.152:6610/cntv/live1/HD-8000k-1080P-cctv14/HD-8000k-1080P-cctv14
CCTV14,http://140.207.241.18:8080/live/program/live/cctvsehd/4000000/mnf.m3u8
CCTV14,http://117.71.37.15/live.aishang.ctlcdn.com/00000110240253_1/playlist.m3u8?CONTENTID=00000110240253_1
上海哈哈炫动,http://140.207.241.3:8080/live/program/live/hhxdhd/4000000/mnf.m3u8
SiTV动漫秀场,http://140.207.241.3:8080/live/program/live/dmxchd/4000000/mnf.m3u8
北京卡酷少儿,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226558/1.m3u8
北京卡酷少儿,rtmp://58.200.131.2:1935/livetv/btv10hd
北京卡酷少儿,http://223.110.251.152:6610/cntv/live1/kakukaton/kakukaton
